Día,	Año,	Efemérides de Junio
 , 1960,	En una comparecencia por radio y televisión el 24 de junio Fidel señala que el error es lo más probable en las decisiones de la política norteamericana y lejos de asimilar las experiencias de la Historia parece ser como que se aferraran al error y estuvieran dispuestos a sucumbir en el error. El Comandante en Jefe comenta que los gobernantes de Estados Unidos pierden más que la Revolución Cubana porque lo que se pierde en lo moral no se puede medir en dólares. La Revolución a pesar de todas esas agresiones va a seguir adelante -asegura Fidel- y entonces sera peor: será una derrota moral mayor todavía para la política norteamericana.
 , 1979,	Santiago de Cuba es proclamada Monumento Nacional.
25,	1524,	Muere en Santiago de Cuba el conquistador español Diego Velázquez.
 , 1653,	Contrabando de esclavos en la isla.
26,	1958,	Muere en la toma del cuartel de Moa el expedicionario del Granma Pedro Soto Alba.
27,	1760,	Se decreta el estanco absoluto del tabaco por la Real Compañía de Comercio de La Habana.
28,	1515,	Fundación de Santiago de Cuba.
 , 1844,	Es fusilado el poeta Gabriel de la Concepción Valdés (Plácido).
 , 1960,	El gobierno revolucionario dispone la intervención de la compañía petrolera Texaco.
29,	1856,	Ascensión en globo de Matías Pérez llamado el «Rey de los Toldos».
 , 1912,	Nace en Cienfuegos la cantante Paulina Alvarez la Emperatriz del Danzonete.
 , 1960,	Es intervenida la refinería de petróleo norteamericana Texaco al desacatar la orden de procesar combustible del Estado firmada la víspera por el Primer Ministro del Gobierno Revolucionaria mediante Resolución 188.
 , 1961,	El gobierno de Estados Unidos decreta el embargo de las compras de grasas comestibles que habitualmente Cuba adquiría en ese país.
 , 1971,	El Comandante en Jefe Fidel Castro inaugura la secundaria básica en el campo 14 de junio primera puesta en funcionamiento en Isla de Pinos (hoy Isla de la Juventud).
 , 1977,	El Comité Ejecutivo del Consejo de Ministros crea el Centro de Estudios Martianos.
30,	1840,	Nace en La Habana el profesor y compositor Lorenzo Carriazo.
 , 1889,	En San Antonio de los Baños nace Emilio Rodríguez Lara uno de los fundadores del primer Partido Comunista de Cuba y de la Confederación Nacional Obrera de Cuba (CNOC).
 , 1957,	Son asesinados en Santiago de Cuba los revolucionarios Josué País Floro Vistel y Salvador Pascual.
 , 1960,	En aguas cercanas al Castillo del Morro de Santiago de Cuba maniobra un portaaviones de la Marina de Guerra de EE.UU. de donde despegan dos aviones que dan varias vueltas provocativamente sobre la bahía y la refinería norteamericana Texaco intervenida el dia antes al desacatar la orden del Gobierno Revolucionario de procesar petróleo del Estado. Por la noche el Comandante en Jefe Fidel Castro firma sendas resoluciones con igual demanda a las refinerías Esso (norteamericana) y Shell (inglesa).
 , , El Gobierno Revolucionario autoriza un millón de pesos con destino a los damnificados de un terremoto que había azotado a Chile.
 , 1974,	De forma experimental para su posterior aplicación en todo Cuba comienzan en Matanzas las elecciones a delegados a los órganos locales del Poder Popular.
 , , Nota: El tercer domingo de este mes se celebra el Día de los Padres.
