Día,	Año,	Efemérides de Julio
14,	1960,	Tres buques de la Marina de Guerra de Estados Unidos violan las aguas cubanas en las cercanías de la playa de Sigua en el sur de la provincia de Oriente los cuales hicieron maniobras y prácticas de artillería.
 , 1962,	Aparece el cadáver del pescador Rodolfo Rosell Salas víctima de desmanes de los marines acantonados en la base naval de Guantánamo.
 , , Se inaugura la línea radiotelefónica Habana-Moscú.
15,	1689,	Fundación de Santa Clara.
16,	1881,	Nace el polígrafo cubano Fernando Ortiz Fernández.
 , 1898,	Rendición de las tropas españolas en Santiago de Cuba.
 , 1903,	El senado cubano «aprueba» el convenio de arrendamiento de las estaciones carboneras y navales de la bahía de Guantánamo.
19,	1876,	Como parte de la ofensiva que libran con rumbo a occidente tropas mambisas asaltan la ciudad de Santa Clara fundada el 15 de julio de 1689.
 , 1953,	Los jóvenes de la Generación del Centenario tienen su última práctica de tiro y entrenamiento militar en la finca Santa Elena cerca del poblado de Los Palos en el municipio Nueva Paz.
 , 1958,	Cae en combate el capitán Andrés Cuevas Heredia ascendido póstumamente a comandante.
 , 1960,	El 19 de julio el Canciller de la Dignidad Raúl Roa reitera ante el Consejo de Seguridad de la ONU las acusaciones al Gobierno de los Estados Unidos por sus agresiones de todo tipo contra la Revolucion y el pueblo cubanos. Mediante esta intervención el Gobierno Revolucionario reafirma su pleno derecho a elegir la vía del Consejo de Seguridad para fijar su posición y expresa que acepta cualquier tribuna para defender la soberanía nacional.
 , 1964,	Disparos procedentes de la base naval de Guantánamo acaban con la vida del soldado guardafronteras Ramón López Peña.
 , 1977,	Queda oficialmente inaugurado el Centro de Estudios Martianos organismo de investigación multidisciplinaria sobre la vida obra vigencia y proyección de José Martí.
 , 1980,	El Comandante en Jefe Fidel Castro inaugura el Centro de Exploración de Pioneros Ramón Paz en Santo Domingo-Sierra Maestra.
 , 1984,	La energía eléctrica llega al punto más oriental de Cuba.
20,	1882,	Es asesinado el líder obrero gráfico Alfredo López. De él fundador de la Federación Obrera de La Habana y la Confederación Nacional Obrera de Cuba dijo Mella: «Discutir con el sobre problemas de organización era como discutir con un general famoso sobre cuestiones de tácticas guerreras».
 , 1890,	Aprovechando una visita de Flor Crombet. José Martí envía sus primeras cartas a los Generales Antonio Maceo y Máximo Gómez para invitarlos a unirse a los nuevos esfuerzos libertarios.
 , 1926,	Nace el compositor y director de orquesta Gonzalo Roig.
 , 1975,	El Comandante en Jefe Fidel Castro inaugura el campamento de Pioneros Jose Marti en Tarara.
 , 1977,	Fidel habla en la graduación del primer contingente del Destacamento Pedagógico Manuel Ascunce Domenech en el teatro Lázaro Pena de la Central de Trabajadores de Cuba.
 , 1989,	El Senado de los Estados Unidos aprueba la prohibición a las firmas subsidiarias de compañías norteamericanas establecidas en terceros países de realizar operaciones comerciales con Cuba.
23,	1963,	Ley nacionalizando el edificio de la Embajada de E.U.
24,	1731,	Sublevación de esclavos en el cobre.
 , 1957,	Muere asesinado el revolucionario René Fraga Moreno.
 , 1961,	Llega a La Habana el cosmonauta Yuri Gagarín.
25,	1515,	Fundación de San Cristóbal de La Habana.
26,	1762,	Muere el héroe popular Pepe Antonio (José A. Gómez Bullones). Se destacó como guerrillero en la defensa de La Habana.
 , 1953,	ASALTO A LOS CUARTELES MONCADA EN SANTIAGO DE CUBA Y CARLOS MANUEL DE CESPEDES EN BAYAMO. DIA DE LA REBELDIA NACIONAL (Se declaró así en 1959).
27,	1953,	Es clausurado el periódico «Hoy» por la tiranía batistiana.
29,	1819,	Nace en Bayamo «Perucho» Figueredo autor del himno nacional.
 , 1953,	Es asesinado el asaltante al Moncada Hugo Camejo.
30,	1957,	Son asesinados en Santiago de Cuba los revolucionarios Frank País y Raúl Pujol. Día de los Mártires de la Revolución.
 , 1958,	Muere en combate el revolucionario René Ramos Latour (Daniel).
31,	1861,	Se nombran por la Metrópoli peritos tasadores de esclavos.
