Día,	Año,	Efemérides de Abril
16,	1961,	El Comandante Fidel Castro proclama el carácter socialista de nuestra revolución.
17,	1961,	Invasión de Playa Girón. Día de la Fuerza Antiaérea Revolucionaria.
18,	1819,	Nace el padre de la patria Carlos Manuel de Céspedes.
 , 1961,	Día del Tanquista.
19,	1959,	Es detenido y luego expulsado de Cuba el norteamericano Loren Eugene Hall quien había llegado al país el mes anterior y dirigía una escuela militar clandestina en la barriada capitalina de Marianao.
 , 1961,	Derrota total de los mercenarios que desembarcaron por Playa Girón.
 , 1963,	Se plantea la formación de las primeras brigadas médicas internacionalistas para ser enviadas a Argelia.
 , 1973,	La fábrica de ómnibus Girón en La Habana entrega el primer ómnibus urbano hecho en Cuba.
 , 1980,	Se realiza la primera Marcha del Pueblo Combatiente por la Quinta Avenida.
20,	1895,	Tras una marcha emprendida a las tres de la mañana a la luz de velas José Martí Máximo Gómez y sus hombres descansan en un palmar del palenque desde donde se divisa el mar del sur. Un montero les trae de Imías la noticia de que tropas españolas han salido en su persecución.
 , 1898,	Resolución Conjunta aprobada por los yanquis que cercena la soberanía de Cuba.
 , 1930,	Aparece en las paginas de El Diario de la Marina los ocho primeros poemas de Motivos de son escritos por Nicolás Guillen con el ritmo verbal del son y la prosodia del pueblo negro habanero. Según el propio Guillen «ellos hicieron volver los ojos de la crítica oficial hacia un fenómeno no considerado hasta entonces importante o mejor dicho existente: el papel del negro en la cultura nacional».
 , 1957,	Son asesinados en Humboldt 7 los revolucionarios Fructuoso Rodríguez - Juan Pedro Carbó Serviá - José Machado (Machadito) y Joe Westbrook.
21,	1879,	El 21 de abril de José Martí habla durante el homenaje al periodista Adolfo Márquez Sterling en los altos de El Louvre en La Habana y exige soluciones inmediatas definidas y concretas para el problema cubano.
 , 1895,	Ya cerca de San Antonio hacia donde habían partido a las seis de la mañana Martí y Máximo Gómez conocen de la muerte del General Flor Crombet.
 , 1898,	Estados Unidos interviene en la guerra hispano-cubana.
 , 1958,	Camilo Cienfuegos recibe una comunicación del Comandante en Jefe Fidel Castro en la que se le nombra comandante y jefe militar del triángulo entre las ciudades de Bayamo-Manzanillo y Victoria de las Tunas zona donde libraria exitosas operaciones en su campana por los llanos del Cauto.
 , 1959,	El Gobierno Revolucionario declara de uso público las costas y playas cubanas.
 , 1998,	Cuba y la República Dominicana restablecen relaciones diplomáticas plenas.
22,	1895,	Este es un día de espera impaciente para José Martí y a la vez de tristeza al confirmarse la caída del General Flor Crombet por alguien que lo vio muerto »con su bella cabeza fría y su labio roto y dos balazos en el pecho». 
 , 1898,	Comienza el bloqueo naval norteamericano a Cuba.
 , 1915,	Es abierto el Teatro Nacional de La Habana.
 , 1959,	Durante su visita privada a Estados Unidos Fidel sostiene una entrevista con el Secretario General de la Organización de las Naciones Unidas Dag Hammarskjold. Con posterioridad durante un almuerzo que le ofrecen los corresponsales extranjeros en la ONU Fidel les expresa que Cuba tendrá plena independencia en esa organización.
 , 1966,	Mas de ocho mil estudiantes y profesores de la enseñanza media inician en Camagüey como experiencia piloto el plan de la Escuela al Campo al incorporarse a labores agrícolas en diversas zonas de esa provincia.
 , 1967,	En Bolivia cae el combatiente internacionalista Elíseo Reyes (San Luis). Hemos perdido al mejor hombre de la guerrilla escribe en su diario el Comandante Ernesto Che Guevara.
 , 1970,	El Comandante en Jefe Fidel Castro habla en la velada solemne por el centenario del natalicio de Vladimir Ilich Lenin efectuada en el teatro Karl Marx. Allí destaca la influencia ejercida por el genial político ruso sobre los revolucionarios cubanos: »Por aquellos meses que precedieron al 26 de julio de 1953 -dice Fidel- la mayor parte del pequeño grupo de compañeros que estabamos dedicados a aquellas tareas andábamos siempre con los libros de Marx y de Lenin (…) de las obras de Lenin nosotros siempre sacábamos conclusiones que fueron decisivas».
23,	1898,	Muere el Coronel del Ejército Libertador Juan Delgado junto a sus hermanos Donato y Ramón.
 , 1961,	Fidel explica al pueblo desde la televisión la victoria militar en Playa Girón y su profunda trascendencia.
 , 1971,	Primer Congreso Nacional de Educación y Cultura.
24,	1863,	En el ingenio Concepción uno de los mayores del mundo en su época se realiza el primer ensayo de mecanización de las labores agrícolas que se conozca en América Latina. La prueba se hizo con un arado de vapor que en el año anterior se había exhibido en París.
 , 1961,	El presidente norteamericano John F. Kennedy reconoce públicamente su responsabilidad en la agresión a Cuba llevada a cabo por Playa Girón y Playa Larga. Después del fracaso de la brigada mercenaria a Kennedy no le quedaba otro camino pues varios centenares de los apátridas capturados habían explicado en detalle como habían sido contratados entrenados armados y embarcados por la CIA.
 , 1965,	Llegada del Comandante Ernesto Guevara con 13 compañeros de lucha al Congo.
 , 1974,	El Comandante en Jefe Fidel Castro asiste a la entrega del primer edificio de viviendas construido por microbrigadas en el reparto capitalino de La Coronela.
 , 1980,	Fallece en París el escritor Alejo Carpentier mientras se desempeñaba como consejero cultural en la embajada cubana en Francia. Renovador de la novela contemporánea el autor de El siglo de las luces recreó lo real maravilloso del Caribe.
25,	1987,	Fallece Blas Roca Calderío destacado dirigente comunista.
26,	1869,	Disolución de la Asamblea de Camagüey.
 , 1895,	A monte puro entre espinas que tajan y bejucos que azotan va acercándose a Arroyo Hondo junto con Máximo Gómez y los hombres que los acompañan cuando a las 11 de la mañana todos sienten un tiroteo. A poco en el camino mismo del combate conocerán por boca de los propios cubanos triunfadores que había sido un encuentro de la tropa de José Maceo con fuerzas enemigas. »¿Como no me inspira horror la mancha de sangre que vi en el camino?» se pregunta Martí en su diario de campana. Luego de dormir unas horas al pie de un árbol el Delegado busca en su jolongo medicinas para los heridos. Los agrupa y entre todos con Paquito Borrero de tierna ayuda cura a los heridos.
 , 1959,	El Comandante Camilo Cienfuegos habla en una concentración en Zulueta pueblo de la parte central del pais que había liberado con su columna invasora y que lo declara hijo adoptivo. Modestamente el Señor de la Vanguardia expresa que los honores son para quienes dieron la vida por la patria y pide a los pobladores que lo acompañen a depositar flores a José Martí para juntos jurar lealtad a la Revolución. Mientras en su ultimo día de visita privada a Estados Unidos Fidel ofrece una conferencia en la Universidad de Harvard. Con anterioridad había sostenido encuentros con estudiantes de las universidades de Princeton y Columbia.
 , 1961,	El presidente estadounidense John F. Kennedy decreta el embargo total de las importaciones desde ese país a Cuba.
 , 1962,	A los 81 años de edad muere en Guanabacoa Miguel Valdés García uno de los fundadores del primer Partido Comunista de Cuba.
 , 1967,	En las selváticas montañas de Bolivia cae el internacionalista cubano Elíseo Reyes Rodríguez (San Luis). Día negro llama el Comandante Ernesto Guevara a la fecha de la muerte del querido capitán que a los 17 anos se había incorporado a la lucha en la Sierra Maestra. »Hemos perdido el mejor hombre de la guerrilla» agrega el Che en su diario de campaña.
 , 1976,	Son inhumados en La Habana los restos de Adriana Corcho y Efrén Monteagudo víctimas del atentado perpetrado por la CIA a la embajada de Cuba en Portugal.
27,	1879,	«Los hijos trabajan para la madre para su patria deben trabajar todos los hombres» expresa José Martí el 27 de abril de en un discurso en homenaje al violinista Rafael Díaz Albertini en el Liceo de Guanabacoa.  Fue una intervención aprovechada por Martí para despertar entre los cubanos el amor a Cuba a tal punto que hizo exclamar al gobernador español Ramón Blanco asistente al acto: «Nunca pensé que en mi presencia se dijeran tales cosas. Ese Martí esta loco pero es un loco peligroso».
 , 1876,	En interés de abastecerse el General Máximo Gómez ataca audazmente a Ciego de Avila plaza de fuerte concentración de tropas enemigas por estar enclavada en la trocha de Júcaro a Morón.
 , 1959,	Al cruzar sobre territorio cubano el avión que lo conduce a Argentina desde Norteamérica el Comandante en Jefe Fidel Castro anticipa en declaraciones a la radio nacional los criterios que sostendría en la Conferencia de los 21 a efectuarse en Buenos Aires. «Es hora ya de buscar verdaderas soluciones -señala- a lo que constituye la fuente de las grandes preocupaciones los grandes trastornos sociales - económicos y políticos de América que es el subdesarrollo y la crisis crónica que en el orden económico están viviendo todos los pueblos latinoamericanos».
 , 1963,	Llega a la URSS (en visita oficial) el Comandante Fidel Castro.
28,	1872,	Veta Céspedes la Ley de Organización Militar aprobada por la Cámara.
 , 1895,	A las nueve de la mañana José Martí y Máximo Gómez arengan a las tropas mambisas en el campamento de Filipinas en los montes de Baracoa. Desde el amanecer es día de trabajo intenso: envío de circulares a los jefes mambises cartas a los amigos probables otra para abrir el servicio de correo y parque e instrucciones a Bartolomé Masó a Felix Ruenes y a José Maceo al que se le nombra mayor general.
 , 1910,	Fallece en Santiago de las Vegas el literato periodista y patriota Martín Morúa Delgado.
 , 1957,	El 28 de abril de es captada la histórica imagen de Fidel Raúl y un grupo de rebeldes con los fusiles en alto cantando el himno nacional en la cima del Turquino. Este simbólico documento gráfico tomado por el periodista Bob Taber y el camarógrafo Wendell Hoffman de la Columbia Broadcasting System era parte de un documental que esa cadena norteamericana de televisión trasmitiría al mes siguiente sobre las guerrillas en la Sierra Maestra.
 , 1959,	Apenas cuatro meses después del triunfo revolucionario es creada la Casa de las Américas por ley del Consejo de Ministros. Haydeé Santamaría nombrada su presidenta insufló a la institución un aliento de hermandad que la convertiría verdaderamente en la casa de los intelectuales del continente.
 , 1980,	Fidel y Raúl asisten al sepelio de Alejo Carpentier en el cementerio de Colón. El insigne novelista había fallecido en París el día 24 mientras se desempeñaba como ministro consejero de la embajada de Cuba en Francia.
29,	1956,	Asalto al Cuartel Goicuría en Matanzas. Mueren 15 jóvenes entre ellos Reynold García.
 , 1960,	El Comandante Fidel Castro entrega al Ministerio de Educación el cuartel Goicuría.
30,	1896,	Combate de Cacarajícara. Los mambises encabezados por Maceo escriben una página gloriosa en nuestra historia.
